epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,24.5544,1.35919,0.85131,0.99224,0.43844,0.000237612,0.000237612,0.000237612
2,46.1762,0.61565,0.89624,0.98775,0.33755,0.000459917,0.000459917,0.000459917
3,69.8525,0.49851,0.90686,0.99306,0.30499,0.000666514,0.000666514,0.000666514
4,91.6152,0.4593,0.90809,0.99101,0.29619,0.000643314,0.000643314,0.000643314
5,115.694,0.38086,0.92239,0.99224,0.26581,0.000619752,0.000619752,0.000619752
6,139.03,0.34669,0.9281,0.99306,0.23956,0.00059619,0.00059619,0.00059619
7,162.085,0.30372,0.92729,0.99469,0.24621,0.000572628,0.000572628,0.000572628
8,185.257,0.28481,0.93015,0.99714,0.24756,0.000549066,0.000549066,0.000549066
9,209.125,0.25684,0.93137,0.99428,0.24405,0.000525504,0.000525504,0.000525504
10,232.489,0.24518,0.93219,0.99428,0.23399,0.000501942,0.000501942,0.000501942
11,256.243,0.22413,0.9375,0.99551,0.2199,0.00047838,0.00047838,0.00047838
12,280.23,0.19477,0.93546,0.99551,0.22232,0.000454818,0.000454818,0.000454818
13,303.619,0.18606,0.93546,0.9951,0.22897,0.000431256,0.000431256,0.000431256
14,327.357,0.18164,0.93832,0.99551,0.23067,0.000407694,0.000407694,0.000407694
15,350.478,0.16927,0.93505,0.99469,0.23228,0.000384132,0.000384132,0.000384132
16,373.792,0.15764,0.94199,0.99592,0.21287,0.00036057,0.00036057,0.00036057
17,397.066,0.14988,0.93913,0.99428,0.22147,0.000337008,0.000337008,0.000337008
18,420.683,0.14014,0.94567,0.99592,0.21405,0.000313446,0.000313446,0.000313446
19,444.218,0.13511,0.94404,0.99592,0.21125,0.000289884,0.000289884,0.000289884
20,468.395,0.11503,0.94526,0.9951,0.20737,0.000266322,0.000266322,0.000266322
21,526.372,0.11694,0.94281,0.99796,0.20471,0.00024276,0.00024276,0.00024276
22,549.27,0.11432,0.94036,0.99592,0.20234,0.000219198,0.000219198,0.000219198
23,571.279,0.1156,0.94322,0.99551,0.21064,0.000195636,0.000195636,0.000195636
24,591.966,0.09452,0.94199,0.99592,0.20496,0.000172074,0.000172074,0.000172074
25,611.642,0.09648,0.94077,0.99592,0.20317,0.000148512,0.000148512,0.000148512
26,631.398,0.09772,0.94485,0.99632,0.19355,0.00012495,0.00012495,0.00012495
27,654.99,0.08646,0.94608,0.99714,0.18955,0.000101388,0.000101388,0.000101388
28,678.854,0.07955,0.94894,0.99632,0.18545,7.7826e-05,7.7826e-05,7.7826e-05
29,702.2,0.08494,0.9469,0.99632,0.18759,5.4264e-05,5.4264e-05,5.4264e-05
30,722.414,0.08617,0.9473,0.99673,0.18804,3.0702e-05,3.0702e-05,3.0702e-05
