epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,287.091,1.36251,0.85539,0.99224,0.43484,0.000237612,0.000237612,0.000237612
2,564.573,0.59895,0.90278,0.99142,0.33057,0.000459917,0.000459917,0.000459917
3,824.343,0.50085,0.90278,0.99183,0.32245,0.000666514,0.000666514,0.000666514
4,1094.3,0.45931,0.91176,0.99306,0.2826,0.000643314,0.000643314,0.000643314
5,1356.11,0.38779,0.9277,0.99346,0.25324,0.000619752,0.000619752,0.000619752
6,1624.95,0.34288,0.92606,0.99387,0.25244,0.00059619,0.00059619,0.00059619
7,1886.71,0.3126,0.92525,0.99346,0.24902,0.000572628,0.000572628,0.000572628
8,2145.32,0.27997,0.93137,0.99469,0.24492,0.000549066,0.000549066,0.000549066
9,2402.43,0.25722,0.93464,0.99551,0.23455,0.000525504,0.000525504,0.000525504
10,2700.55,0.23912,0.93505,0.9951,0.22988,0.000501942,0.000501942,0.000501942
11,3007.16,0.21803,0.93709,0.9951,0.21157,0.00047838,0.00047838,0.00047838
12,3303.55,0.20683,0.93382,0.99673,0.24689,0.000454818,0.000454818,0.000454818
13,3616.16,0.18276,0.93382,0.99592,0.23007,0.000431256,0.000431256,0.000431256
14,3936.17,0.17901,0.93668,0.99469,0.22727,0.000407694,0.000407694,0.000407694
15,4322.93,0.16393,0.94077,0.99551,0.21525,0.000384132,0.000384132,0.000384132
16,4646.71,0.16265,0.9424,0.99592,0.22083,0.00036057,0.00036057,0.00036057
17,4975.4,0.15157,0.93995,0.99428,0.21985,0.000337008,0.000337008,0.000337008
18,5300.17,0.14493,0.94281,0.99673,0.21494,0.000313446,0.000313446,0.000313446
19,5620.25,0.12671,0.94199,0.99551,0.20999,0.000289884,0.000289884,0.000289884
20,5958.6,0.11951,0.94526,0.99592,0.22267,0.000266322,0.000266322,0.000266322
21,6289.73,0.11514,0.94649,0.99592,0.21167,0.00024276,0.00024276,0.00024276
22,6598.1,0.1184,0.9424,0.99632,0.21512,0.000219198,0.000219198,0.000219198
23,6919.45,0.10502,0.94485,0.99551,0.22395,0.000195636,0.000195636,0.000195636
24,7237.55,0.10143,0.94853,0.99592,0.20699,0.000172074,0.000172074,0.000172074
25,7546.12,0.09194,0.9469,0.99592,0.21237,0.000148512,0.000148512,0.000148512
26,7867.11,0.09306,0.95016,0.9951,0.20438,0.00012495,0.00012495,0.00012495
27,8183.49,0.08137,0.94894,0.99632,0.199,0.000101388,0.000101388,0.000101388
28,8481.46,0.08639,0.94894,0.99632,0.19638,7.7826e-05,7.7826e-05,7.7826e-05
29,8809.18,0.08272,0.94935,0.99592,0.19714,5.4264e-05,5.4264e-05,5.4264e-05
30,9132.21,0.07962,0.94853,0.99632,0.19455,3.0702e-05,3.0702e-05,3.0702e-05
